name,r,g,b,x,y,z,l,a,b
gray000,0,0,0,0,0,0,0,0,0
gray010,26,26,26,0.313,0.329,0.358,5.76,0,0
gray020,51,51,51,0.313,0.329,0.358,19.75,0,0
gray030,77,77,77,0.313,0.329,0.358,32.14,0,0
gray040,102,102,102,0.313,0.329,0.358,43.44,0,0
gray050,128,128,128,0.313,0.329,0.358,54.01,0,0
gray060,153,153,153,0.313,0.329,0.358,63.58,0,0
gray070,178,178,178,0.313,0.329,0.358,73.17,0,0
gray080,204,204,204,0.313,0.329,0.358,82.41,0,0
gray090,229,229,229,0.313,0.329,0.358,91.33,0,0
gray100,255,255,255,0.313,0.329,0.358,100,0,0
redprimary,255,0,0,0.63,0.34,0.03,53.21,74.35,67.69
greenprimary,0,255,0,0.31,0.595,0.095,87.05,-80.66,83.98
blueprimary,0,0,255,0.155,0.07,0.775,35.31,72.03,-103.19
white,255,255,255,,,,,,
yellowsecondary,255,255,0,0.421,0.507,0.072,96.55,-21.3,95.41
cyansecondary,0,255,255,0.231,0.326,0.443,91.13,-43.35,-14.15
magentasecondary,255,0,255,0.314,0.161,0.525,61.56,91.04,-59.17
white,255,255,255,,,,,,
gray000,0,0,0,,,,,,
gray001,2,2,2,,,,,,
gray002,5,5,5,,,,,,
gray003,8,8,8,,,,,,
gray004,10,10,10,,,,,,
gray096,245,245,245,,,,,,
gray097,247,247,247,,,,,,
gray098,250,250,250,,,,,,
gray099,253,253,253,,,,,,
gray100,255,255,255,,,,,,
red000,127,127,127,0.313,0.329,0.358,53.54,0,0
red025,171,111,111,0.392,0.332,0.277,53.36,22.42,10.19
red050,205,92,92,0.471,0.334,0.195,53.48,41.86,22.55
red075,232,68,68,0.548,0.337,0.114,53.43,58.69,38.56
red100,255,0,0,0.63,0.34,0.03,53.21,74.35,67.69
green000,218,218,218,0.313,0.329,0.358,87.31,0,0
green025,176,233,176,0.312,0.395,0.293,87.3,-26.72,21.48
green050,136,242,136,0.311,0.461,0.228,87.05,-47.85,41.21
green075,94,249,94,0.311,0.527,0.163,86.99,-65.28,60.94
green100,0,255,0,0.31,0.595,0.095,87.05,-80.66,83.98
blue000,85,85,85,0.313,0.329,0.358,35.83,0,0
blue025,83,83,107,0.275,0.267,0.458,35.89,6.02,-14.55
blue050,78,78,136,0.235,0.201,0.565,35.84,15.93,-33.23
blue075,68,68,177,0.195,0.135,0.67,35.57,33.07,-58.51
blue100,0,0,255,0.155,0.07,0.775,35.31,72.03,-103.19
yellow000,245,245,245,0.313,0.329,0.358,96.48,0,0
yellow025,248,248,203,0.34,0.373,0.287,96.47,-6.99,21.25
yellow050,252,252,161,0.367,0.418,0.216,96.72,-12.68,42.8
yellow075,253,253,113,0.393,0.461,0.146,96.39,-17.22,65.44
yellow100,255,255,0,0.421,0.507,0.072,96.55,-21.3,95.41
cyan000,229,229,229,,,,,,
cyan025,201,235,235,0.293,0.328,0.379,91.04,-9.75,-3.62
cyan050,168,242,242,0.272,0.328,0.401,91.13,-20.41,-7.27
cyan075,123,249,249,0.252,0.327,0.422,91.31,-31.47,-10.74
cyan100,0,255,255,0.231,0.326,0.443,91.13,-43.35,-14.15
magenta000,148,148,148,0.313,0.329,0.358,61.79,0,0
magenta025,168,139,168,0.313,0.288,0.399,61.83,15.27,-11.12
magenta050,191,123,191,0.314,0.245,0.441,61.68,34.73,-24.36
magenta075,219,99,219,0.314,0.204,0.482,61.75,58.53,-39.57
magenta100,255,0,255,0.314,0.161,0.525,61.56,91.04,-59.17
black,0,0,0,,,,,,
gray35,158,158,158,,,,,,
gray50,186,186,186,,,,,,
gray65,210,210,210,,,,,,
gray80,229,229,229,,,,,,
white,255,255,255,,,,,,
darkskin,115,82,66,,,,,,
lightskin,193,150,130,,,,,,
bluesky,94,122,156,,,,,,
foliage,90,107,66,,,,,,
blueflower,130,128,176,,,,,,
bluishgreen,99,189,169,,,,,,
orange,217,120,41,,,,,,
purplishblue,75,92,163,,,,,,
moderatered,193,84,97,,,,,,
purple,92,62,107,,,,,,
yellowgreen,158,186,64,,,,,,
orangeyellow,229,161,45,,,,,,
blue,51,62,150,,,,,,
green,71,148,71,,,,,,
red,176,49,58,,,,,,
yellow,238,199,33,,,,,,
magenta,186,84,146,,,,,,
cyan,0,133,163,,,,,,
