name,r,g,b,x,y,z,l,a,b
gray000,0,0,0,,,,,,
gray010,29,29,29,,,,,,
gray020,54,54,54,,,,,,
gray030,79,79,79,,,,,,
gray040,105,105,105,,,,,,
gray050,130,130,130,,,,,,
gray060,154,154,154,,,,,,
gray070,179,179,179,,,,,,
gray080,204,204,204,,,,,,
gray090,230,230,230,,,,,,
gray100,255,255,255,,,,,,
redprimary,255,0,0,,,,,,
greenprimary,0,255,0,,,,,,
blueprimary,0,0,255,,,,,,
white,255,255,255,,,,,,
yellowsecondary,255,255,0,,,,,,
cyansecondary,0,255,255,,,,,,
magentasecondary,255,0,255,,,,,,
white,255,255,255,,,,,,
gray000,0,0,0,,,,,,
gray001,3,3,3,,,,,,
gray002,7,7,7,,,,,,
gray003,11,11,11,,,,,,
gray004,14,14,14,,,,,,
gray096,245,245,245,,,,,,
gray097,247,247,247,,,,,,
gray098,250,250,250,,,,,,
gray099,253,253,253,,,,,,
gray100,255,255,255,,,,,,
red000,123,123,123,,,,,,
red025,172,107,107,,,,,,
red050,206,88,88,,,,,,
red075,233,64,64,,,,,,
red100,255,0,0,,,,,,
green000,219,219,219,,,,,,
green025,175,234,175,,,,,,
green050,134,244,134,,,,,,
green075,92,250,92,,,,,,
green100,0,255,0,,,,,,
blue000,92,92,92,,,,,,
blue025,90,90,113,,,,,,
blue050,85,85,139,,,,,,
blue075,75,75,178,,,,,,
blue100,0,0,255,,,,,,
yellow000,244,244,244,,,,,,
yellow025,248,248,199,,,,,,
yellow050,250,250,156,,,,,,
yellow075,253,253,109,,,,,,
yellow100,255,255,0,,,,,,
cyan000,232,232,232,,,,,,
cyan025,204,238,238,,,,,,
cyan050,172,244,244,,,,,,
cyan075,128,249,249,,,,,,
cyan100,0,255,255,,,,,,
magenta000,147,147,147,,,,,,
magenta025,167,139,167,,,,,,
magenta050,188,125,188,,,,,,
magenta075,217,102,217,,,,,,
magenta100,255,0,255,,,,,,
black,0,0,0,,,,,,
gray35,160,160,160,,,,,,
gray50,188,188,188,,,,,,
gray65,211,211,211,,,,,,
gray80,230,230,230,,,,,,
white,255,255,255,,,,,,
darkskin,117,82,66,,,,,,
lightskin,195,152,132,,,,,,
bluesky,95,124,158,,,,,,
foliage,91,109,66,,,,,,
blueflower,132,130,178,,,,,,
bluishgreen,100,190,171,,,,,,
orange,218,122,38,,,,,,
purplishblue,75,93,165,,,,,,
moderatered,195,84,98,,,,,,
purple,93,61,109,,,,,,
yellowgreen,160,188,64,,,,,,
orangeyellow,230,163,43,,,,,,
blue,50,61,152,,,,,,
green,71,150,71,,,,,,
red,178,47,57,,,,,,
yellow,238,201,29,,,,,,
magenta,188,84,148,,,,,,
cyan,0,135,165,,,,,,
