name,r,g,b,x,y,z,l,a,b
gray000,0,0,0,,,,,,
gray010,26,26,26,,,,,,
gray020,51,51,51,,,,,,
gray030,77,77,77,,,,,,
gray040,102,102,102,,,,,,
gray050,128,128,128,,,,,,
gray060,153,153,153,,,,,,
gray070,178,178,178,,,,,,
gray080,204,204,204,,,,,,
gray090,229,229,229,,,,,,
gray100,255,255,255,,,,,,
red000,123,123,123,,,,,,
red025,172,107,107,,,,,,
red050,206,87,87,,,,,,
red075,233,63,63,,,,,,
red100,255,0,0,,,,,,
green000,218,218,218,,,,,,
green025,172,243,172,,,,,,
green050,132,243,132,,,,,,
green075,90,250,90,,,,,,
green100,0,255,0,,,,,,
blue000,90,90,90,,,,,,
blue025,87,87,111,,,,,,
blue050,83,83,137,,,,,,
blue075,72,72,176,,,,,,
blue100,0,0,255,,,,,,
cyan000,231,231,231,,,,,,
cyan025,204,236,236,,,,,,
cyan050,170,243,243,,,,,,
cyan075,125,249,249,,,,,,
cyan100,0,255,255,,,,,,
magenta000,148,148,148,,,,,,
magenta025,167,139,167,,,,,,
magenta050,190,125,190,,,,,,
magenta075,218,100,218,,,,,,
magenta100,255,0,255,,,,,,
yellow000,243,243,243,,,,,,
yellow025,248,248,198,,,,,,
yellow050,250,250,155,,,,,,
yellow075,253,253,107,,,,,,
yellow100,255,255,0,,,,,,
black,0,0,0,,,,,,
gray35,158,158,158,,,,,,
gray50,186,186,186,,,,,,
gray65,210,210,210,,,,,,
gray80,229,229,229,,,,,,
white,255,255,255,,,,,,
darkskin,115,82,66,,,,,,
lightskin,193,150,130,,,,,,
bluesky,94,122,156,,,,,,
foliage,90,107,66,,,,,,
blueflower,130,128,176,,,,,,
bluishgreen,99,189,169,,,,,,
orange,217,120,41,,,,,,
purplishblue,75,92,163,,,,,,
moderatered,193,84,97,,,,,,
purple,92,62,107,,,,,,
yellowgreen,158,186,64,,,,,,
orangeyellow,229,161,45,,,,,,
blue,51,62,150,,,,,,
green,71,148,71,,,,,,
red,176,49,58,,,,,,
yellow,238,199,33,,,,,,
magenta,186,84,146,,,,,,
cyan,0,133,163,,,,,,
