name,r,g,b,x,y,z,l,a,b
gray000,0,0,0,,,,,,
gray010,26,26,26,,,,,,
gray020,51,51,51,,,,,,
gray030,77,77,77,,,,,,
gray040,102,102,102,,,,,,
gray050,128,128,128,,,,,,
gray060,153,153,153,,,,,,
gray070,178,178,178,,,,,,
gray080,204,204,204,,,,,,
gray090,229,229,229,,,,,,
gray100,255,255,255,,,,,,
red000,120,120,120,,,,,,
red025,171,104,104,,,,,,
red050,206,85,85,,,,,,
red075,233,61,61,,,,,,
red100,255,0,0,,,,,,
green000,217,217,217,,,,,,
green025,171,233,171,,,,,,
green050,132,243,132,,,,,,
green075,90,250,90,,,,,,
green100,0,255,0,,,,,,
blue000,98,98,98,,,,,,
blue025,94,94,119,,,,,,
blue050,88,88,146,,,,,,
blue075,77,77,184,,,,,,
blue100,0,0,255,,,,,,
cyan000,232,232,232,,,,,,
cyan025,205,238,238,,,,,,
cyan050,171,243,243,,,,,,
cyan075,126,249,249,,,,,,
cyan100,0,255,255,,,,,,
magenta000,149,149,149,,,,,,
magenta025,169,140,169,,,,,,
magenta050,191,126,191,,,,,,
magenta075,219,101,219,,,,,,
magenta100,255,0,255,,,,,,
yellow000,241,241,241,,,,,,
yellow025,246,246,196,,,,,,
yellow050,250,250,153,,,,,,
yellow075,253,253,106,,,,,,
yellow100,255,255,0,,,,,,
black,0,0,0,,,,,,
gray35,158,158,158,,,,,,
gray50,186,186,186,,,,,,
gray65,210,210,210,,,,,,
gray80,229,229,229,,,,,,
white,255,255,255,,,,,,
darkskin,115,82,66,,,,,,
lightskin,193,150,130,,,,,,
bluesky,94,122,156,,,,,,
foliage,90,107,66,,,,,,
blueflower,130,128,176,,,,,,
bluishgreen,99,189,169,,,,,,
orange,217,120,41,,,,,,
purplishblue,75,92,163,,,,,,
moderatered,193,84,97,,,,,,
purple,92,62,107,,,,,,
yellowgreen,158,186,64,,,,,,
orangeyellow,229,161,45,,,,,,
blue,51,62,150,,,,,,
green,71,148,71,,,,,,
red,176,49,58,,,,,,
yellow,238,199,33,,,,,,
magenta,186,84,146,,,,,,
cyan,0,133,163,,,,,,
